ChangeSpeed,,,,,,,,
L_Thign,L_calf,L_Foot,R_Thign,R_calf,R_Foot,Pelvis_x,Pelvis_y,Pelvis_z
-28.35,25.46,-12.88,8.44,19.4,-18.56,1.406902,1.596306,-29.50951
-28.35,25.46,-12.88,8.44,19.4,-18.56,1.406902,1.596306,-29.50951
-27.78,28.21,-13,5.51,24.66,-16.18,0.8102624,1.654617,-30.23876
-27.78,28.21,-13,5.51,24.66,-16.18,0.8102624,1.654617,-30.23876
-26.32,29.85,-11.84,2.07,33.7,-8.49,0.3595622,1.598007,-31.30302
-26.32,29.85,-11.84,2.07,33.7,-8.49,0.3595622,1.598007,-31.30302
-26.32,29.85,-11.84,2.07,33.7,-8.49,0.3595622,1.598007,-31.30302
-24.36,34.03,-17.25,-4.8,43.48,-4.88,0.09607649,1.426147,-32.00169
-24.36,34.03,-17.25,-4.8,43.48,-4.88,0.09607649,1.426147,-32.00169
-19.68,31.49,-18.83,-7.91,51.39,-5.29,-0.228241,1.098206,-32.60484
-19.68,31.49,-18.83,-7.91,51.39,-5.29,-0.228241,1.098206,-32.60484
-17.5,30.79,-20.04,-10.37,54.84,-5.91,-0.6772461,0.6739044,-33.09641
-17.5,30.79,-20.04,-10.37,54.84,-5.91,-0.6772461,0.6739044,-33.09641
-13.42,28.36,-21.39,-14.98,59.45,-5.91,-0.9356384,0.9130707,-33.26051
-13.42,28.36,-21.39,-14.98,59.45,-5.91,-0.9356384,0.9130707,-33.26051
-13.42,28.36,-21.39,-14.98,59.45,-5.91,-0.9356384,0.9130707,-33.26051
-11.39,26.78,-21.53,-17.3,60.63,-13.7,-1.069885,1.533157,-33.49072
-11.39,26.78,-21.53,-17.3,60.63,-13.7,-1.069885,1.533157,-33.49072
-9.33,25.06,-21.19,-19.41,57.32,-14,-1.274628,2.273438,-33.82317
-9.33,25.06,-21.19,-19.41,57.32,-14,-1.274628,2.273438,-33.82317
-7.22,23.41,-21.3,-22.84,56.76,-16.14,-1.500519,2.452972,-33.77152
-7.22,23.41,-21.3,-22.84,56.76,-16.14,-1.500519,2.452972,-33.77152
-2.8,19.01,-20.75,-23.83,52.93,-19.24,-1.528748,2.558563,-33.06696
-2.8,19.01,-20.75,-23.83,52.93,-19.24,-1.528748,2.558563,-33.06696
-0.44,16.59,-20.44,-24.08,41.42,-7.47,-1.777618,3.060921,-32.20679
-0.44,16.59,-20.44,-24.08,41.42,-7.47,-1.777618,3.060921,-32.20679
-0.44,16.59,-20.44,-24.08,41.42,-7.47,-1.777618,3.060921,-32.20679
1.92,14.09,-20.04,-23.32,34.13,-16.6,-2.819427,3.484055,-32.19105
1.92,14.09,-20.04,-23.32,34.13,-16.6,-2.819427,3.484055,-32.19105
5.98,9.64,-19.39,-22.4,26.79,-22.96,-2.664948,3.597229,-32.42235
5.98,9.64,-19.39,-22.4,26.79,-22.96,-2.664948,3.597229,-32.42235
5.98,9.64,-19.39,-22.4,26.79,-22.96,-1.984528,3.562828,-32.0621
5.98,9.64,-19.39,-22.4,26.79,-22.96,-1.984528,3.562828,-32.0621
