2019_05_13_22_46_37,,杨开智,混合,,,,,
L_Thign,L_calf,L_Foot,R_Thign,R_calf,R_Foot,Pelvis_x,Pelvis_y,Pelvis_z
-24.64,18.85,-16.11,10.74,5.44,-14.99,4.146749,-1.570534,3.179993
-26.3,17.24,-12.09,10.75,6.28,-15.37,4.067525,-1.8246,2.850212
-26.3,17.24,-12.09,10.75,6.28,-15.37,4.423118,-2.113716,2.5401
-26.3,17.24,-12.09,10.75,6.28,-15.37,4.423118,-2.113716,2.5401
-26.3,17.24,-12.09,10.75,6.28,-15.37,5.075141,-2.393242,2.263809
-29.89,23.77,-8.88,8.23,14.76,-16.84,5.67676,-2.57814,2.089394
-29.89,23.77,-8.88,8.23,14.76,-16.84,5.67676,-2.57814,2.089394
-29.89,23.77,-8.88,8.23,14.76,-16.84,5.891466,-2.606575,2.015274
-29.89,23.77,-8.88,8.23,14.76,-16.84,5.570376,-2.618919,1.988731
-30.51,28.26,-6.76,6.5,19.28,-15.78,4.409405,-2.674942,1.73838
-30.51,28.26,-6.76,6.5,19.28,-15.78,4.409405,-2.674942,1.73838
-29.45,31.56,-9.48,-0.16,29.01,-6.66,3.576262,-2.783066,1.383904
-27.44,37.06,-15.95,-3.91,39.76,-6.89,2.940951,-2.938545,0.9447632
-27.44,37.06,-15.95,-3.91,39.76,-6.89,2.561978,-3.137978,0.4861755
-27.44,37.06,-15.95,-3.91,39.76,-6.89,2.561978,-3.137978,0.4861755
-27.44,37.06,-15.95,-3.91,39.76,-6.89,2.39247,-3.310219,0.0723877
-22.34,34.52,-18.28,-7.36,46.54,-0.66,2.309345,-3.508362,-0.2208405
-22.34,34.52,-18.28,-7.36,46.54,-0.66,2.309345,-3.508362,-0.2208405
-19.93,33.76,-19.69,-13.12,57.04,-4.82,2.226279,-3.738075,-0.3811188
-15.23,30.6,-20.52,-15.06,59.48,-7.44,2.107877,-4.017342,-0.4303818
-15.23,30.6,-20.52,-15.06,59.48,-7.44,1.942778,-4.27652,-0.3898849
-15.23,30.6,-20.52,-15.06,59.48,-7.44,1.942778,-4.27652,-0.3898849
-13.04,28.86,-20.55,-17,58.53,-14.22,1.786205,-4.396614,-0.2622452
-10.9,27.11,-20.52,-20.64,58.85,-17.1,1.654899,-4.296532,-0.04375458
-10.9,27.11,-20.52,-20.64,58.85,-17.1,1.654899,-4.296532,-0.04375458
-10.9,27.11,-20.52,-20.64,58.85,-17.1,1.591609,-4.064919,-0.03214264
-6.66,22.81,-19.63,-21.87,55.8,-25.99,1.58287,-3.914276,-0.100975
-6.66,22.81,-19.63,-21.87,55.8,-25.99,1.655284,-3.876953,-0.1888885
-6.66,22.81,-19.63,-21.87,55.8,-25.99,1.655284,-3.876953,-0.1888885
-4.65,20.45,-18.9,-22.76,45.69,-21.98,1.707697,-3.882988,-0.3012772
-0.58,16.15,-18.03,-22.26,38.52,-22.27,1.621824,-3.925713,-0.5890808
-0.58,16.15,-18.03,-22.26,38.52,-22.27,1.621824,-3.925713,-0.5890808
-0.58,16.15,-18.03,-22.26,38.52,-22.27,1.172478,-3.59137,-1.206314
1.4,13.9,-17.46,-19.91,21.93,-19.23,0.306396,-3.479248,-1.894974
1.4,13.9,-17.46,-19.91,21.93,-19.23,-0.3135681,-3.54641,-2.407173
1.4,13.9,-17.46,-19.91,21.93,-19.23,-0.3135681,-3.54641,-2.407173
3.22,11.32,-16.15,-19.12,14.95,-16.73,-0.2871399,-3.37413,-2.671814
5.85,8.33,-15.53,-19.33,10.75,-13.19,0.2885445,-3.168381,-2.724884
6.33,7.73,-15.08,-21.42,11.46,-9.75,0.9407444,-3.154861,-2.667946
6.33,7.73,-15.08,-21.42,11.46,-9.75,0.9407444,-3.154861,-2.667946
6.33,7.73,-15.08,-21.42,11.46,-9.75,1.296242,-3.284348,-2.454979
6.33,7.73,-15.08,-21.42,11.46,-9.75,1.09053,-3.478722,-1.9561
6.33,7.73,-15.08,-21.42,11.46,-9.75,1.09053,-3.478722,-1.9561
6.36,8.76,-14.46,-23.21,15.54,-8.65,0.5517893,-3.629974,-1.669502
5.12,11.46,-14,-24.68,20.9,-8.58,-0.006866455,-3.902855,-1.432678
3.93,14.77,-12.87,-24.4,25.3,-7.07,-0.3120422,-4.155983,-1.215431
3.93,14.77,-12.87,-24.4,25.3,-7.07,-0.3120422,-4.155983,-1.215431
3.93,14.77,-12.87,-24.4,25.3,-7.07,-0.2008667,-4.332924,-0.9795456
3.93,14.77,-12.87,-24.4,25.3,-7.07,0.2921509,-4.417694,-0.6544418
3.93,14.77,-12.87,-24.4,25.3,-7.07,0.2921509,-4.417694,-0.6544418
2.31,18.96,-10.41,-23.09,32.59,-13.8,0.9540504,-4.447983,-0.1717682
-0.13,27.55,-3.02,-20.96,33.98,-16.4,1.548131,-4.431099,0.4332352
-6.28,36.92,0.95,-15.94,31.52,-18.49,1.926487,-4.439545,1.099815
-6.28,36.92,0.95,-15.94,31.52,-18.49,1.926487,-4.439545,1.099815
-6.28,36.92,0.95,-15.94,31.52,-18.49,2.077681,-4.509178,1.746544
-6.28,36.92,0.95,-15.94,31.52,-18.49,2.100009,-4.566704,2.315216
-6.28,36.92,0.95,-15.94,31.52,-18.49,2.100009,-4.566704,2.315216
-9.45,43.07,3.48,-13.27,31.32,-20.42,2.12329,-4.69146,2.9758
-15.2,53.95,1.29,-10.92,29.56,-20.67,2.159408,-4.820747,3.295616
-17.43,57.49,-2.02,-6.59,25.77,-20.54,2.230511,-4.988884,3.551689
-17.43,57.49,-2.02,-6.59,25.77,-20.54,2.230511,-4.988884,3.551689
-19.57,59.34,-11.3,-4.53,23.7,-20.17,2.329137,-5.149193,3.735123
-19.57,59.34,-11.3,-4.53,23.7,-20.17,2.414935,-5.240906,3.856369
-19.57,59.34,-11.3,-4.53,23.7,-20.17,2.456403,-5.146202,3.924141
-19.57,59.34,-11.3,-4.53,23.7,-20.17,2.456403,-5.146202,3.924141
-23.43,61.4,-15.47,-2.53,21.61,-19.38,2.448238,-4.839104,3.976067
-24.9,56.48,-15.64,1.3,17.55,-18.81,2.420834,-4.496971,4.078056
-24.9,56.48,-15.64,1.3,17.55,-18.81,2.420834,-4.496971,4.078056
-26.58,53.8,-25.49,3.19,15.52,-18.37,2.401242,-4.205429,4.217842
-26.58,53.8,-25.49,3.19,15.52,-18.37,2.417888,-3.937057,4.337212
-26.66,48.64,-27.27,6.85,11.73,-17.71,2.485392,-3.690735,4.41333
-26.66,48.64,-27.27,6.85,11.73,-17.71,2.485392,-3.690735,4.41333
-26.66,48.64,-27.27,6.85,11.73,-17.71,2.663745,-3.507629,4.443085
-26.19,35.39,-26.28,8.51,9.79,-17.14,3.211115,-3.276131,4.509705
-26.19,35.39,-26.28,8.51,9.79,-17.14,3.211115,-3.276131,4.509705
-26.19,35.39,-26.28,8.51,9.79,-17.14,3.92769,-3.213387,4.573097
-24.56,26.95,-23.7,9.87,8.32,-16.28,4.420658,-2.993538,4.544594
-24.21,20.44,-20.05,11.26,7.34,-16.12,4.459091,-2.810059,4.342766
-24.21,20.44,-20.05,11.26,7.34,-16.12,4.459091,-2.810059,4.342766
-24.58,13.25,-11.4,11.29,8.05,-16.01,4.19164,-2.799423,4.06205
-24.58,13.25,-11.4,11.29,8.05,-16.01,4.004084,-2.952881,3.811203
-24.58,13.25,-11.4,11.29,8.05,-16.01,4.004084,-2.952881,3.811203
-24.58,13.25,-11.4,11.29,8.05,-16.01,4.158833,-3.229996,3.558983
-27.06,15.25,-7.89,10.83,9.73,-15.9,4.628445,-3.486374,3.319633
-28.63,18.06,-5.48,8.04,14.31,-12.18,5.123968,-3.672501,3.162048
-28.63,18.06,-5.48,8.04,14.31,-12.18,5.123968,-3.672501,3.162048
-29.35,25.49,-6.24,5.66,21.59,-12.14,5.32439,-3.659874,3.147064
-29.35,25.49,-6.24,5.66,21.59,-12.14,5.087172,-3.544075,3.216324
-29.35,25.49,-6.24,5.66,21.59,-12.14,4.095279,-3.351387,3.078735
-29.35,25.49,-6.24,5.66,21.59,-12.14,4.095279,-3.351387,3.078735
-27.94,28.4,-8.76,2.22,28.25,-2.68,3.292051,-3.300835,2.737213
-26.01,30.51,-12.04,-1.6,35.6,-0.29,2.613793,-3.327263,2.267761
-26.01,30.51,-12.04,-1.6,35.6,-0.29,2.613793,-3.327263,2.267761
-26.01,30.51,-12.04,-1.6,35.6,-0.29,2.167865,-3.465355,1.719063
-26.01,30.51,-12.04,-1.6,35.6,-0.29,1.922952,-3.627243,1.174713
-26.01,30.51,-12.04,-1.6,35.6,3.52,1.784145,-3.811867,0.7173233
-26.01,30.51,-12.04,-1.6,35.6,3.52,1.784145,-3.811867,0.7173233
-26.01,30.51,-12.04,-1.6,35.6,3.52,1.666429,-4.004402,0.3818817
-26.01,30.51,-12.04,-1.6,35.6,3.52,1.544586,-4.198029,0.144928
-26.01,30.51,-12.04,-1.6,35.6,3.52,1.544586,-4.198029,0.144928
-23.26,31.34,-14.63,-5.12,42.58,1.15,1.409571,-4.373711,-0.05685425
-23.26,31.34,-14.63,-5.12,42.58,1.15,1.280365,-4.48037,-0.2211227
