匀速步行,,,,,,,,
L_Thign,L_calf,L_Foot,R_Thign,R_calf,R_Foot,Pelvis_x,Pelvis_y,Pelvis_z
-28.43,33.74,-10.87,-5.16,39.01,1.52,3.440243,-2.036232,2.127815
-28.43,33.74,-10.87,-5.16,39.01,1.52,3.440243,-2.036232,2.127815
-25.95,34.38,-13.29,-8.45,48.67,1.9,3.160121,-2.117455,1.682648
-21.1,31.91,-15.49,-13.8,56.37,-1.1,3.005545,-2.257782,1.281456
-21.1,31.91,-15.49,-13.8,56.37,-1.1,2.930023,-2.439819,0.9745026
-21.1,31.91,-15.49,-13.8,56.37,-1.1,2.930023,-2.439819,0.9745026
-21.1,31.91,-15.49,-13.8,56.37,-1.1,2.866355,-2.6147,0.7880859
-18.88,32.69,-18.26,-15.69,59.17,-4.89,2.786829,-2.777687,0.7307663
-16.87,31.62,-18.59,-17.55,59.6,-13.6,2.689008,-2.850433,0.7516098
-16.87,31.62,-18.59,-17.55,59.6,-13.6,2.689008,-2.850433,0.7516098
-13.05,29.25,-19.7,-21.1,60.47,-17.06,2.547616,-2.69693,0.843071
-13.05,29.25,-19.7,-21.1,60.47,-17.06,2.507798,-2.612297,0.8746719
-13.05,29.25,-19.7,-21.1,60.47,-17.06,2.507798,-2.612297,0.8746719
-13.05,29.25,-19.7,-21.1,60.47,-17.06,2.455653,-2.432259,0.9135056
-11.11,27.74,-19.41,-22.48,53.65,-22.25,2.444569,-2.105576,0.8589935
-7.45,24.3,-19.28,-24.11,50.03,-23.88,2.446804,-1.873901,0.8004684
-7.45,24.3,-19.28,-24.11,50.03,-23.88,2.446804,-1.873901,0.8004684
-5.75,22.65,-19,-24.28,37.79,-17.9,2.415693,-1.69841,0.7525177
-5.75,22.65,-19,-24.28,37.79,-17.9,2.332952,-1.566032,0.702446
-5.75,22.65,-19,-24.28,37.79,-17.9,2.332952,-1.566032,0.702446
-5.75,22.65,-19,-24.28,37.79,-17.9,2.188912,-1.423286,0.6667252
-4.08,20.96,-18.35,-24.12,31.04,-21.78,1.9309,-1.241173,0.5476837
-0.69,17.52,-17.99,-24.15,24.84,-19.09,1.382229,-0.9189072,0.1889343
-0.69,17.52,-17.99,-24.15,24.84,-19.09,1.382229,-0.9189072,0.1889343
1,15.63,-17.42,-24.68,15.97,-11.75,0.5368252,-0.756134,-0.3385696
1,15.63,-17.42,-24.68,15.97,-11.75,-0.1191711,-0.7570648,-0.8608246
1,15.63,-17.42,-24.68,15.97,-11.75,-0.1191711,-0.7570648,-0.8608246
2.5,14.02,-16.25,-26.13,15.23,-10.09,-0.3241882,-0.7386093,-1.285912
2.5,14.02,-16.25,-26.13,15.23,-10.09,-0.1588745,-0.8666458,-1.483688
3.66,12.91,-15.44,-26.69,15.52,-6.18,0.2171554,-1.30732,-1.341621
3.66,12.91,-15.44,-26.69,15.52,-6.18,0.2171554,-1.30732,-1.341621
4.48,13.13,-15.22,-27.03,16.82,-3.53,0.2171063,-1.649086,-1.001541
4.48,13.13,-15.22,-27.03,16.82,-3.53,-0.07989502,-1.952805,-0.6038055
4.48,13.13,-15.22,-27.03,16.82,-3.53,-0.07989502,-1.952805,-0.6038055
4.16,14.66,-12.01,-27.01,21.74,-4.49,-0.5856323,-2.164635,-0.2525177
2.04,18.58,-9.95,-26.09,24.21,-1.08,-1.06192,-2.302155,-0.004188538
2.04,18.58,-9.95,-26.09,24.21,-1.08,-1.239929,-2.395119,0.1397095
2.04,18.58,-9.95,-26.09,24.21,-1.08,-1.239929,-2.395119,0.1397095
0.17,25.24,-9.43,-24.6,29.55,-5.54,-1.024048,-2.486877,0.228363
0.17,25.24,-9.43,-24.6,29.55,-5.54,-0.546875,-2.549927,0.342308
-2.4,30.74,0.77,-22.53,30.48,-6.65,0.007769112,-2.572952,0.5419464
-2.4,30.74,0.77,-22.53,30.48,-6.65,0.007769112,-2.572952,0.5419464
-8.91,40.31,4.17,-17.11,27.41,-8.83,0.5044437,-2.526459,0.8083115
