上楼梯,,,,,,,,
L_Thign,L_calf,L_Foot,R_Thign,R_calf,R_Foot,Pelvis_x,Pelvis_y,Pelvis_z
-14.43,24.23,-9.23,-50.21,82.2,-34.59,-0.4101257,-11.99844,44.59814
-13.54,22.93,-8.9,-54.82,84.74,-34.99,0.5157986,-11.97729,46.03766
-13.54,22.93,-8.9,-54.82,84.74,-34.99,0.5157986,-11.97729,46.03766
-12.09,21.43,-8.91,-56.44,84.74,-34.5,1.107965,-12.10749,47.22992
-12.09,21.43,-8.91,-56.44,84.74,-34.5,1.107965,-12.10749,47.22992
-11.36,21.04,-9.13,-57.25,84.48,-30.73,1.908747,-12.18942,48.76977
-11.36,21.04,-9.13,-57.25,84.48,-30.73,1.908747,-12.18942,48.76977
-11.36,21.04,-9.13,-57.25,84.48,-30.73,1.908747,-12.18942,48.76977
-10.58,20.85,-9.34,-56.06,83.31,-28.68,2.48895,-12.33377,49.69538
-10.58,20.85,-9.34,-56.06,83.31,-28.68,2.48895,-12.33377,49.69538
-8.77,20.55,-10.19,-54,81.94,-26.99,3.200592,-12.47395,50.42456
-8.77,20.55,-10.19,-54,81.94,-26.99,3.200592,-12.47395,50.42456
-8.1,20.62,-7.73,-51.22,81.39,-26.3,4.12784,-12.70762,51.34418
-8.1,20.62,-7.73,-51.22,81.39,-26.3,4.12784,-12.70762,51.34418
-8,21.68,-5.82,-44.79,75.7,-27.65,4.671533,-12.95885,52.08563
-8,21.68,-5.82,-44.79,75.7,-27.65,4.671533,-12.95885,52.08563
-10.72,25.45,2.64,-41.05,72.34,-28.1,5.145761,-13.21358,52.63953
-10.72,25.45,2.64,-41.05,72.34,-28.1,5.145761,-13.21358,52.63953
-10.72,25.45,2.64,-41.05,72.34,-28.1,5.145761,-13.21358,52.63953
-13.4,30.03,7.13,-37.58,68.49,-28.26,5.676199,-13.46416,52.94232
-13.4,30.03,7.13,-37.58,68.49,-28.26,5.676199,-13.46416,52.94232
-16.56,40.12,5.64,-30.93,61.01,-27.53,6.409604,-13.74103,53.06665
-16.56,40.12,5.64,-30.93,61.01,-27.53,6.409604,-13.74103,53.06665
-22.99,51.24,7.59,-28.04,57.04,-26.53,7.006687,-13.91072,53.18573
-22.99,51.24,7.59,-28.04,57.04,-26.53,7.006687,-13.91072,53.18573
-26.11,58.97,3.79,-25.39,51.52,-23.74,7.644086,-13.98103,53.41583
-26.11,58.97,3.79,-25.39,51.52,-23.74,7.644086,-13.98103,53.41583
-29.42,69.04,-4.64,-20.64,45.16,-22.17,8.22738,-14.01383,53.82745
-29.42,69.04,-4.64,-20.64,45.16,-22.17,8.22738,-14.01383,53.82745
-29.42,69.04,-4.64,-20.64,45.16,-22.17,8.22738,-14.01383,53.82745
-36.2,77.45,-12.4,-18.48,41.32,-20.58,8.625728,-13.92541,54.42533
-36.2,77.45,-12.4,-18.48,41.32,-20.58,8.625728,-13.92541,54.42533
-39.5,81.1,-17.45,-14.54,33.96,-17.42,8.618551,-13.78921,54.64914
-39.5,81.1,-17.45,-14.54,33.96,-17.42,8.618551,-13.78921,54.64914
-44.83,84.58,-27.61,-12.95,30.77,-16,8.219257,-13.30061,54.51416
-44.83,84.58,-27.61,-12.95,30.77,-16,8.219257,-13.30061,54.51416
-46.79,84.84,-32.34,-11.63,28.01,-15,8.01425,-12.99939,54.22748
-46.79,84.84,-32.34,-11.63,28.01,-15,8.01425,-12.99939,54.22748
-46.79,84.84,-32.34,-11.63,28.01,-15,8.01425,-12.99939,54.22748
-48.32,84.36,-36.28,-9.76,24.08,-13.11,7.89635,-12.70657,53.88715
-48.32,84.36,-36.28,-9.76,24.08,-13.11,7.89635,-12.70657,53.88715
-50.48,82.38,-37.25,-9.07,22.82,-12.67,7.3604,-12.61158,52.93952
-50.48,82.38,-37.25,-9.07,22.82,-12.67,7.3604,-12.61158,52.93952
-50.91,80.77,-41.3,-7.86,21.4,-12.56,6.561547,-12.59853,51.22784
-50.91,80.77,-41.3,-7.86,21.4,-12.56,6.561547,-12.59853,51.22784
-50.9,77.72,-38.86,-7.38,21.34,-12.89,5.771819,-12.52535,49.94794
-50.9,77.72,-38.86,-7.38,21.34,-12.89,5.771819,-12.52535,49.94794
-48.98,75.62,-37.17,-6.96,21.44,-12.24,4.968241,-12.54711,48.61655
-48.98,75.62,-37.17,-6.96,21.44,-12.24,4.968241,-12.54711,48.61655
-48.98,75.62,-37.17,-6.96,21.44,-12.24,4.968241,-12.54711,48.61655
-46.93,73.56,-35.88,-6.61,22.02,-11.64,4.291449,-12.61683,47.87402
-46.93,73.56,-35.88,-6.61,22.02,-11.64,4.291449,-12.61683,47.87402
-42.38,69.8,-34.5,-7.01,22.66,-9.32,3.462446,-12.81338,47.09949
-42.38,69.8,-34.5,-7.01,22.66,-9.32,3.462446,-12.81338,47.09949
-39.96,67.82,-34.8,-10.26,26.26,-0.49,2.516196,-13.25148,45.97583
-39.96,67.82,-34.8,-10.26,26.26,-0.49,2.516196,-13.25148,45.97583
-35.18,62.4,-32.98,-13.02,30.17,4.77,2.022367,-13.56809,45.28137
-35.18,62.4,-32.98,-13.02,30.17,4.77,2.022367,-13.56809,45.28137
-32.72,59.48,-32.21,-16.33,39.32,13.48,1.593447,-13.86736,44.75922
-32.72,59.48,-32.21,-16.33,39.32,13.48,1.593447,-13.86736,44.75922
-32.72,59.48,-32.21,-16.33,39.32,13.48,1.593447,-13.86736,44.75922
-32.72,59.48,-32.21,-16.33,39.32,13.48,1.083975,-14.21968,44.13916
-32.72,59.48,-32.21,-16.33,39.32,13.48,1.083975,-14.21968,44.13916
-25.34,48.81,-27.9,-25.51,59.76,10.32,0.6520222,-14.43638,43.73216
-25.34,48.81,-27.9,-25.51,59.76,10.32,0.6520222,-14.43638,43.73216
-23.16,45.21,-26.16,-28.33,73.23,-3.74,0.1479871,-14.51462,43.32211
-23.16,45.21,-26.16,-28.33,73.23,-3.74,0.1479871,-14.51462,43.32211
-19.36,38.31,-22.75,-33.93,81.88,-11.88,-0.257843,-14.44212,42.90305
-19.36,38.31,-22.75,-33.93,81.88,-11.88,-0.257843,-14.44212,42.90305
-19.36,38.31,-22.75,-33.93,81.88,-11.88,-0.257843,-14.44212,42.90305
-19.36,38.31,-22.75,-33.93,81.88,-11.88,-0.5785217,-14.13163,42.31617
-19.36,38.31,-22.75,-33.93,81.88,-11.88,-0.5785217,-14.13163,42.31617
-16.66,31.31,-17.62,-42.18,87.13,-26.46,-0.5751343,-13.9655,42.03178
-16.66,31.31,-17.62,-42.18,87.13,-26.46,-0.5751343,-13.9655,42.03178
-16.66,31.31,-17.62,-42.18,87.13,-26.46,-0.537262,-13.83105,41.86762
-16.66,31.31,-17.62,-42.18,87.13,-26.46,-0.537262,-13.83105,41.86762
-14.55,27.18,-14.76,-48.44,82.94,-31.5,-0.87677,-13.27628,41.81526
-14.55,27.18,-14.76,-48.44,82.94,-31.5,-0.87677,-13.27628,41.81526
-13.35,25.98,-14.18,-49.93,81.18,-32.4,-0.6914368,-12.89194,42.30737
-13.35,25.98,-14.18,-49.93,81.18,-32.4,-0.6914368,-12.89194,42.30737
-13.35,25.98,-14.18,-49.93,81.18,-32.4,-0.6914368,-12.89194,42.30737
-13.35,25.98,-14.18,-49.93,81.18,-32.4,-0.2833862,-12.94593,43.12265
-13.35,25.98,-14.18,-49.93,81.18,-32.4,-0.2833862,-12.94593,43.12265
-11.37,24.86,-14.28,-50.16,75.27,-30.91,0.315073,-13.21156,44.66394
-11.37,24.86,-14.28,-50.16,75.27,-30.91,0.315073,-13.21156,44.66394
-8.73,22.34,-12.9,-48.69,73.27,-31.09,1.099137,-13.4754,45.95715
-8.73,22.34,-12.9,-48.69,73.27,-31.09,1.099137,-13.4754,45.95715
-8.73,22.34,-12.9,-48.69,73.27,-31.09,1.936112,-13.7684,47.12091
-8.73,22.34,-12.9,-48.69,73.27,-31.09,1.936112,-13.7684,47.12091
-8.73,22.34,-12.9,-48.69,73.27,-31.09,1.936112,-13.7684,47.12091
-6.26,19.17,-8.68,-40.74,66.47,-32.16,2.963544,-14.17427,48.31671
-6.26,19.17,-8.68,-40.74,66.47,-32.16,2.963544,-14.17427,48.31671
-6.26,19.17,-8.68,-40.74,66.47,-32.16,3.752798,-14.45664,49.21078
-6.26,19.17,-8.68,-40.74,66.47,-32.16,3.752798,-14.45664,49.21078
-7.78,24.02,-0.24,-31.7,57.14,-31.62,4.593863,-14.73253,50.23022
-7.78,24.02,-0.24,-31.7,57.14,-31.62,4.593863,-14.73253,50.23022
-13.62,33.4,1.62,-28.94,53.68,-31.04,5.650214,-15.11157,51.51969
-13.62,33.4,1.62,-28.94,53.68,-31.04,5.650214,-15.11157,51.51969
